#{"t_start": 1777901893.9573681, "env_id": "None"}
r,l,t
-562.400307,38,376.826747
3103.113223,115,377.117517
142.21454,89,377.345934
3333.322947,186,377.84108
1683.925449,87,378.0669
3398.937297,148,378.440863
780.332776,98,378.699228
2786.35556,181,379.180076
1360.687284,129,379.508617
1459.250508,56,379.647205
649.024066,88,379.889905
-760.350155,22,379.947492
1153.789057,111,381.007627
1751.60205,75,383.088953
1641.361543,71,383.269044
2435.04708,120,383.570982
1521.91919,69,383.744381
-729.122192,48,383.874242
1279.786828,50,384.014109
2348.362466,93,384.276665
2803.885191,121,384.590058
-499.486276,37,384.688583
2491.469693,120,384.987622
2370.733054,132,385.42588
968.209222,116,385.847095
1464.615614,59,386.054086
-731.057038,26,386.150238
3775.996227,224,386.928172
-813.382781,34,387.04217
2110.294573,164,387.675388
3428.549925,148,388.257592
2398.419859,96,388.6208
1586.286205,92,388.862118
-667.257948,39,388.959432
-811.568714,26,389.761716
-772.952309,26,389.829057
2721.790695,155,392.090965
1312.824412,69,392.256953
1447.903004,122,392.594848
217.530203,85,392.813887
1423.18947,47,392.940136
1053.072883,54,393.07196
3602.7417,157,393.475633
-108.175593,49,393.61953
1208.461053,75,393.80723
1674.383165,69,393.985107
1498.377791,104,394.249089
1955.948424,98,394.496888
2045.178998,80,394.718085
119.265924,78,394.920389
2872.418756,133,395.256607
928.009622,75,395.441311
1713.05653,117,395.752061
2100.773906,128,396.069965
2829.341477,152,396.453367
1552.455747,51,396.576752
-573.342922,41,396.693327
2797.596934,143,397.849867
1247.250657,108,400.50934
1619.607916,96,400.878898
-983.570298,27,400.995451
-1045.798721,77,401.306434
2427.601958,130,401.737798
-712.072527,32,401.830526
-928.492461,28,401.897431
1625.922149,77,402.116029
3000.852112,155,402.515134
2363.481377,148,402.91092
2998.736118,176,403.392543
-348.033635,38,403.488764
-727.301726,31,403.56593
-402.209423,42,403.675944
3756.477977,158,404.093091
2987.327515,152,404.473462
1352.801845,86,404.691823
829.496784,111,404.978622
-505.423001,62,405.156268
1691.124942,107,405.419673
2168.662814,99,406.155132
-48.083876,61,406.321913
1468.97488,92,406.54806
1262.35914,41,408.509098
1948.798078,100,408.76693
-674.555925,47,408.882894
1381.459281,49,409.014598
1694.371116,106,409.293949
1802.975364,97,409.541499
-158.148156,59,409.695575
2423.888026,99,409.942578
2872.511058,160,410.368043
651.502697,140,410.71745
2879.622894,138,411.06857
2608.013776,107,411.339753
3655.406341,219,412.080626
2835.586377,137,412.58862
1987.026374,75,412.854664
2999.65532,129,413.310892
2546.435572,107,415.07102
1459.308239,57,415.222324
-825.627036,29,415.296368
1602.285102,78,415.495144
1370.562993,82,415.698623
2223.545104,97,417.790722
2790.36588,126,418.131152
2603.272316,144,418.506627
-508.165222,39,418.607576
-40.753894,61,418.757227
2177.740055,109,419.039642
997.328685,55,419.206201
3625.595945,190,419.672326
-397.182748,43,419.785073
955.957468,66,419.950464
-75.651517,91,420.201977
1144.024583,67,420.372882
-793.599959,34,420.456231
-334.720959,54,420.59425
-718.807807,35,420.680831
-457.926577,40,420.781358
-546.120335,48,420.904493
2741.749819,113,421.211449
2188.910334,155,421.606007
2576.939682,92,421.839511
-378.985153,40,421.938358
-429.57285,38,423.054098
1264.792063,48,423.170074
-696.876241,29,423.242796
2466.515961,138,423.609482
924.962392,122,426.048436
2722.017092,121,426.4668
-791.167522,28,426.605161
3373.800714,213,427.403408
2339.796012,101,427.832061
121.365251,74,428.103334
1593.483721,83,428.320301
1884.335152,80,428.524936
2710.763217,137,428.888086
2298.798113,154,429.275236
1736.586436,70,429.460918
-32.620231,68,429.630899
-410.658468,90,429.873571
2597.725696,153,430.264593
3067.331679,153,430.64672
1532.821634,66,430.829934
-374.608753,43,430.939489
791.364039,67,431.813392
2984.444201,158,432.228359
3204.493643,122,432.534293
-590.763561,45,432.648037
3316.75208,132,434.955277
3747.893326,177,435.418921
2976.960365,130,435.757032
1243.121623,60,435.906202
2657.022166,115,436.218029
-676.994908,60,436.37823
2997.528766,199,436.892701
3327.597468,156,437.311203
1717.331428,113,437.609027
2590.354727,129,437.942596
-29.118195,57,438.10535
3355.0505,147,438.674635
1240.686592,40,438.810762
2064.192249,112,440.508645
3174.005085,162,441.132015
2408.398109,115,441.498488
1324.889345,50,441.62729
-113.410378,57,441.76823
178.759251,73,443.954541
-731.240136,33,444.035495
2228.06234,102,444.294847
2440.196322,132,444.644607
1568.088477,59,444.790579
-770.386019,29,444.871636
974.666913,52,444.999327
1672.244293,71,445.211535
1197.618677,40,445.311625
385.033545,82,445.518937
3677.690499,198,446.035547
1469.964126,101,446.282991
-804.657547,33,446.374614
2601.068559,123,446.699846
-441.236742,52,446.837672
2123.829565,137,447.181777
-521.66773,50,447.308469
-738.940725,27,447.380701
2360.149224,124,447.715218
1253.960093,130,448.826235
-629.190562,32,448.906187
2715.994756,132,449.265358
1883.924619,109,449.547285
2877.420012,117,449.8664
1292.268197,47,449.98397
2377.127504,114,452.398812
905.978032,72,452.647657
-424.143877,39,452.779633
-926.445223,25,452.866913
1887.898446,118,453.284319
2653.018593,125,453.77448
1947.139071,87,454.115488
2719.084546,185,454.721912
1555.41755,80,454.920065
3092.312199,122,455.24381
-734.65137,91,455.479367
1266.676846,60,455.638625
1467.695365,65,455.796674
3389.699907,148,456.195165
2442.554639,114,456.49039
1344.382279,48,456.607549
-591.553606,27,456.681008
1302.539519,70,457.552155
1875.415562,95,457.80113
904.744508,128,458.124349
2662.869365,147,458.51936
14.75806,75,458.713944
1833.252962,77,460.805965
3234.658889,160,461.212352
1089.064741,108,461.506219
1735.966018,117,461.796736
1277.636385,37,461.888087
1909.680216,75,462.082216
2251.97505,130,462.41975
-123.059053,63,462.600858
1382.507355,69,462.771574
2978.419747,164,463.196095
-89.410101,75,463.386699
2134.468955,103,463.66748
2607.36138,114,463.960489
-442.832583,75,464.144804
2591.389326,125,465.833307
-388.629915,39,465.965256
2465.512596,123,466.397877
-931.529161,47,466.565833
1649.56035,78,466.898263
2980.485526,171,467.566219
1671.978352,75,467.824664
3574.087557,243,470.294856
300.016069,89,470.514172
2820.782541,135,470.885885
-856.125783,51,471.016235
-350.119489,80,471.231766
-663.103191,43,471.344181
2547.903805,103,471.607423
2886.354522,142,471.983218
2086.197013,118,472.285126
1961.629411,77,472.482946
-847.882954,40,472.583113
-634.765013,32,472.663863
-7.421444,72,472.842328
2436.464941,108,473.135588
2229.830215,147,474.211253
2070.550779,83,474.433334
1522.463298,47,474.549473
-316.118943,50,474.679355
2085.112963,73,474.857582
3030.79801,154,475.273098
1744.608994,99,475.545623
-749.383753,37,475.647983
10.256064,82,477.756018
-586.150232,57,477.974146
259.962897,72,478.241469
-833.116234,23,478.324044
-171.105992,65,478.548279
3363.834103,151,479.077242
1376.876963,87,479.400584
-779.605857,24,479.485601
1913.903486,70,479.725423
1267.000937,100,480.134121
1525.793245,47,480.307975
-897.956565,43,480.498368
-540.590091,31,480.614694
3728.017712,190,481.244014
2996.563585,116,481.568047
1291.629993,38,481.658715
912.774597,102,481.924066
-849.631226,44,482.035503
1343.746375,58,482.179981
-226.49463,47,483.093936
3154.272199,195,483.608928
3508.550483,195,484.107547
2726.11893,108,484.384161
-444.744292,43,484.489519
-537.828989,31,484.585628
2990.721893,159,486.944591
-220.05219,50,487.075591
2345.693049,97,487.322186
-310.443256,62,487.488209
3150.062803,191,487.988713
1881.276782,100,488.251445
1763.563809,64,488.406804
1801.664902,112,488.691381
-45.56596,51,488.843455
1362.995401,94,489.075902
-187.014503,57,489.224781
-680.688447,43,489.339324
3452.190273,174,489.801825
2554.25631,109,490.070591
-712.224008,44,490.194766
2866.840679,144,491.593471
1890.081373,82,491.893939
1788.916419,108,492.262996
1963.372525,124,492.684822
-650.942873,34,492.802442
2560.210032,132,493.292004
1953.540146,86,493.613701
-557.521162,52,495.940819
-276.638247,44,496.048691
1235.694004,74,496.259563
-822.581612,23,496.325205
-246.294752,71,496.4974
-170.242529,51,496.629356
-720.467874,23,496.683863
1313.394361,100,496.927358
-774.689698,31,497.000903
-195.314434,47,497.123955
1580.950207,74,497.336246
-590.677924,36,497.423729
3043.959469,160,497.825037
1160.773891,89,498.055102
1800.351511,72,498.242289
-171.877226,54,498.392033
-229.634679,74,498.5806
3662.930108,179,499.032626
2065.343268,75,499.887224
-528.114445,85,500.09181
1690.34846,82,500.303837
3020.529944,135,500.662356
-867.902461,34,500.754357
-429.052511,50,500.876379
883.327334,96,501.116201
2610.754077,127,501.461958
1919.156372,108,501.737162
1541.151849,75,503.874066
51.082669,60,504.023268
1280.475025,116,504.368225
1588.689838,61,504.612639
2908.492687,126,505.067184
-651.660328,45,505.230268
2203.575809,82,505.520537
1567.876676,73,505.786662
2113.273621,138,506.271942
1210.544792,43,506.420151
-558.459758,66,506.695762
950.375889,50,506.900661
-18.402653,59,507.120923
2888.439963,137,507.665533
-969.018245,49,507.857002
1970.131868,80,508.904454
2046.332949,104,509.178339
1052.323097,97,509.424203
145.851557,86,509.64499
1972.81711,85,509.860857
2650.548264,165,510.304233
1743.160506,102,510.556813
1522.756576,65,510.720197
3442.98224,142,512.952913
-644.585292,42,513.073389
-550.171202,35,513.158486
-85.314297,71,513.348758
160.435927,62,513.503715
-765.35122,32,513.59143
3026.892123,152,513.966213
3114.589358,154,514.376077
3376.057448,197,514.865419
-633.216589,36,514.963012
-722.72841,49,515.082633
1221.672657,73,515.293047
3480.486662,170,515.718756
2699.495257,150,516.940707
-437.431018,57,517.079396
1523.14637,63,517.263773
-694.910497,35,517.349489
