Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
678.142,32.9222452,40.14076151,3623.868431,17.32050425,-1.596816266,327.0402492
679.142,32.9218273,40.14118152,3627.348092,18.142287,-1.900601095,329.9170975
680.142,32.92144245,40.14161948,3631.140677,18.61424795,-1.050886929,333.6965964
681.142,32.92109352,40.14207459,3635.61244,19.09394238,-1.131159688,337.0821299
682.142,32.92078162,40.14254542,3640.137832,19.22987339,-1.621339633,340.5420578
683.142,32.92050798,40.14303022,3644.196154,19.45123982,-1.498958545,344.1324424
684.142,32.9202744,40.14352715,3648.010641,19.79556332,-1.377404443,347.7676876
685.142,32.92008239,40.14403453,3651.630989,20.00003357,-1.609552754,351.3927969
686.142,32.91993314,40.14455032,3654.926614,20.19464786,-1.675281052,355.0882024
687.142,32.91982785,40.14507247,3657.986376,20.39909762,-1.526810028,358.8324028
688.142,32.91976773,40.14559881,3661.198547,20.4107465,-1.092319284,2.560777512
689.142,32.9197532,40.14612675,3664.929831,20.36958949,-1.079363482,6.458079183
690.142,32.91978447,40.14665377,3669.141491,20.26534885,-0.8652350772,10.15979625
691.142,32.91986114,40.14717716,3674.180674,20.14548928,-0.1676182317,14.14987836
692.142,32.91998315,40.14769351,3680.562452,20.70075292,0.09392879482,18.00917686
693.142,32.92015038,40.1481998,3688.15549,21.37216735,0.1496820615,21.88781931
694.142,32.92036264,40.14869339,3696.524665,22.08000546,0.2361442123,25.93750677
695.142,32.92061977,40.14917129,3705.495466,22.83113844,0.4239741743,30.16741219
696.142,32.92092128,40.14963034,3714.898446,23.67609431,0.1497435199,34.48383219
697.142,32.92126635,40.15006807,3723.957557,24.48300433,-0.4912895839,38.6996162
698.142,32.921654,40.15048256,3731.924134,25.24205862,-1.011726467,43.22557616
699.142,32.92208345,40.15087116,3738.516692,26.03261374,-1.503654406,47.85302249
700.142,32.92255348,40.15123114,3743.584642,26.14740361,-2.083397021,52.61438835
701.142,32.92306187,40.15156038,3746.999518,25.76634906,-2.556446745,57.41986356
702.142,32.92360565,40.15185721,3748.858341,25.3440026,-2.881061517,62.17360009
703.142,32.92418153,40.15212008,3749.424964,24.88903346,-3.12333345,66.88087767
704.142,32.92478602,40.15234759,3748.997673,24.25752612,-3.178574526,71.51997631
705.142,32.92541506,40.15253873,3747.968577,23.26486399,-3.031000818,76.133974
706.142,32.92606407,40.15269363,3746.695478,20.71830651,-2.826624909,80.42251317
707.142,32.92672827,40.15281483,3745.535115,17.689816,-2.355298314,84.28310685
708.142,32.9274031,40.15290624,3745.080834,13.89478104,-1.54653284,87.53407199
709.142,32.92808441,40.15297331,3745.906682,9.589209934,-0.7267494166,90.10317934
710.142,32.92876941,40.15302272,3747.756814,5.498328749,-0.8723657947,91.76508731
711.142,32.92945663,40.15306089,3749.535723,2.277435225,-0.6321827795,92.25190221
712.142,32.93014345,40.15309271,3752.106025,2.209727133,0.627144181,92.7081247
713.142,32.9308313,40.15311913,3754.002015,3.262512214,-2.03917859,93.12307918
714.142,32.93152102,40.15313876,3755.178058,5.141078266,-0.0478156064,93.80243712
715.142,32.93220934,40.15314851,3757.991369,8.096289384,0.8867932887,95.1837131
716.142,32.93289606,40.15314413,3762.347917,10.30224412,-0.6985159759,96.60742505
717.142,32.93358357,40.15312302,3765.555089,11.92064634,-2.117615629,98.45730666
718.142,32.9342708,40.15308261,3766.965405,13.3319265,-1.831673388,100.6874522
719.142,32.93495529,40.15302053,3767.631879,13.56056281,-1.602412752,103.1261303
720.142,32.9356353,40.15293634,3768.13587,12.37916292,-1.794929318,105.6138832
721.142,32.93631044,40.1528316,3768.176171,11.30467256,-2.097850769,107.868515
722.142,32.93698084,40.15270801,3767.444283,10.21640657,-2.241795084,109.7681068
723.142,32.93764703,40.15256773,3765.732787,8.020286454,-2.604829884,111.6062882
724.142,32.93831027,40.15241351,3762.759988,5.444528203,-2.74109045,113.0035537
725.142,32.93897217,40.15224879,3758.708147,2.921681719,-2.549557005,114.0879555
726.142,32.93963434,40.15207683,3753.40483,0.6359283379,-3.259286231,114.7306353
727.142,32.94029913,40.15190018,3746.289385,-0.5918696156,-3.554118817,115.0280764
728.142,32.94096803,40.15172034,3737.608473,-0.8306213327,-3.370152581,115.1142324
729.142,32.94164101,40.15153788,3728.525754,-0.5187783206,-2.74969841,115.1425777
730.142,32.942317,40.15135288,3720.136994,-0.14956915,-2.255514587,115.334547
731.142,32.9429946,40.15116512,3713.012728,0.4316124869,-1.941436022,115.633518
732.142,32.94367284,40.15097378,3706.644098,1.139619091,-2.305528433,115.9624053
733.142,32.94435106,40.15077789,3700.974017,2.300887533,-1.515014292,116.4404229
734.142,32.94502744,40.15057605,3696.223957,3.749908751,-1.849526435,117.0557137
735.142,32.94570101,40.1503666,3691.770886,4.301268941,-2.23355937,117.9550447
736.142,32.94637152,40.15014844,3687.059109,4.560133538,-2.101841307,118.8699895
737.142,32.9470384,40.14992131,3682.381797,4.261374233,-1.833489577,119.7280389
738.142,32.94770149,40.14968599,3677.942008,3.153462481,-1.798025528,120.6174524
739.142,32.94836127,40.14944368,3673.663322,2.429155284,-1.576088883,121.1371206
740.142,32.94901845,40.14919576,3669.35801,1.849282896,-1.945711507,121.9232617
741.142,32.94967367,40.14894248,3664.493918,1.325146452,-1.912941753,122.0430085
742.142,32.95032755,40.14868494,3659.759302,1.693876882,-1.126548243,122.7707242
743.142,32.95097848,40.14842302,3656.019716,1.612506171,-1.096540981,123.0782467
744.142,32.95162669,40.14815705,3652.48468,1.393791454,-1.811867973,123.6976492
745.142,32.95227317,40.14788662,3647.843809,1.160769305,-2.459238639,124.120233
746.142,32.95291907,40.14761158,3641.591413,0.9580760777,-2.59177227,124.4943771
747.142,32.95356489,40.14733207,3634.185573,0.822753435,-2.682238339,124.9634745
748.142,32.95421064,40.1470481,3626.123333,0.5375669437,-2.444889265,125.1630799
749.142,32.95485642,40.14676033,3618.240313,0.2491658612,-1.836728581,125.5490949
750.142,32.95550152,40.14646947,3611.29441,-0.03458023725,-1.546373504,125.7727836
751.142,32.95614579,40.14617622,3605.280501,-0.3742117106,-1.437945105,126.0507313
752.142,32.95678938,40.14588096,3599.585706,-0.6470237134,-1.750778121,126.2568254
753.142,32.95743291,40.14558379,3593.578723,-0.9801566919,-1.797618064,126.348227
754.142,32.95807681,40.14528527,3587.643381,-1.344390617,-1.192078572,126.4331673
755.142,32.95872071,40.14498619,3582.417853,-1.58409237,-0.9927544422,126.4277441
756.142,32.9593644,40.14468711,3578.135201,-1.249368598,-0.5643927785,126.3942352
757.142,32.96000682,40.14438814,3575.369642,-0.2779302958,0.08663414611,126.4842707
758.142,32.96064628,40.14408859,3573.991024,0.3341417921,-0.3729224323,126.7917932
759.142,32.96128242,40.14378734,3572.870373,0.6316579755,-0.7733135909,127.1118285
760.142,32.96191548,40.14348359,3571.323831,1.02908123,-0.7947794881,127.4311262
761.142,32.96254504,40.14317697,3569.787619,1.411289331,-0.449251744,127.845063
762.142,32.96317068,40.14286725,3568.068459,0.8434082472,-1.338920702,128.3599636
763.142,32.96379349,40.14255437,3565.572232,0.2963078802,-1.094059488,128.5961789
764.142,32.96441399,40.14223925,3563.211641,0.3369741862,-0.1661889879,128.8608077
765.142,32.96503124,40.1419225,3561.686663,0.3092536233,-0.569636923,129.1743817
766.142,32.96564554,40.14160405,3560.332835,-0.04528847309,-0.7944720229,129.4621649
767.142,32.96625763,40.14128395,3558.618906,-0.2740803369,-0.7696674972,129.6416077
768.142,32.96686778,40.14096265,3556.978593,-0.4323782152,-0.3036801356,129.7732254
769.142,32.96747536,40.14064055,3556.190418,0.5487079961,0.1374081716,129.9440211
770.142,32.96807883,40.1403172,3556.610123,1.540448742,0.1321967106,130.3387514
771.142,32.96867706,40.13999159,3557.746359,1.648360075,-0.1057928534,130.8154849
772.142,32.96927007,40.13966324,3558.966986,1.675368884,-0.1691293844,131.2750884
773.142,32.96985788,40.13933216,3560.37568,1.704125048,0.209822184,131.7099119
774.142,32.97044004,40.13899865,3562.373107,1.760920739,0.3295891776,132.217272
775.142,32.97101629,40.13866283,3564.903522,1.471729889,0.4113328549,132.5804331
776.142,32.97158687,40.13832548,3568.349101,0.8094643948,1.217502671,133.0274554
777.142,32.97215145,40.13798816,3573.491688,-0.07087862059,1.912341977,133.2326479
778.142,32.97271059,40.13765228,3579.906259,-0.9172969669,1.581075348,133.2941743
779.142,32.9732655,40.13731897,3587.363368,-1.120478126,2.470252746,133.1787441
780.142,32.97381572,40.13698889,3595.959841,-0.1981095302,2.60180966,133.0435746
781.142,32.97436009,40.13666155,3604.660027,0.3558578984,2.028516878,133.5292011
782.142,32.9748987,40.13633445,3610.117639,0.6416172985,-0.9800759036,133.6375962
783.142,32.97543453,40.13600565,3610.829125,-0.134458397,-1.243734866,133.7244762
784.142,32.97596909,40.13567531,3608.5241,-0.6373409597,-0.3681429274,133.8182137
785.142,32.97650209,40.13534496,3606.089459,-1.304024092,0.5052065746,133.7273722
786.142,32.97703329,40.13501645,3604.989897,-2.053191363,1.088999171,133.6602451
787.142,32.97756281,40.13469126,3605.434707,-2.86841222,1.468870067,133.3426549
788.142,32.97809127,40.13437095,3607.429642,-3.649989486,2.28693239,133.0190816
789.142,32.97861834,40.13405671,3611.013026,-2.910458865,2.453308114,132.6024947
790.142,32.97914301,40.13374842,3616.035685,-1.567393091,2.795301662,132.7034449
791.142,32.97966237,40.13344439,3622.468827,0.2793342732,3.670425412,132.4108532
792.142,32.98017329,40.13314435,3631.111948,0.760583986,4.611382581,132.8841717
793.142,32.98067392,40.13284767,3640.767969,0.4812142545,3.453173103,133.3234348
794.142,32.98116621,40.13255322,3648.493309,-0.3699481784,2.265403847,133.4830017
795.142,32.98165263,40.13226109,3653.874645,-1.772819889,3.053893051,133.2957862
796.142,32.98213447,40.13197362,3658.470559,-2.522770497,3.250665038,133.8113972
797.142,32.98261159,40.13169088,3662.300555,-2.001922042,2.34487758,133.2993242
798.142,32.98308456,40.13141238,3665.156008,0.01091758214,2.983446053,133.4175138
799.142,32.98355028,40.13113611,3667.157376,2.319414848,2.561014221,133.9447771
800.142,32.98400705,40.1308594,3667.905617,1.326572361,1.234346557,134.4125221
801.142,32.98445677,40.13058333,3668.055779,-1.465800964,3.704149471,134.5752172
802.142,32.98489935,40.13031212,3670.005561,-0.839449619,5.429842442,134.3574708
803.142,32.98533223,40.13004777,3674.541912,-0.5559198754,6.112550159,134.5353153
804.142,32.98575411,40.12979063,3680.973743,-0.5220782625,5.940850302,134.9766821
805.142,32.98616568,40.12954016,3687.842652,-0.5311383483,5.266251301,135.8341713
806.142,32.98656778,40.12929557,3694.505553,0.6596665002,5.291805173,137.7244672
807.142,32.98695822,40.12905452,3700.72759,2.586943753,4.506357324,138.4086472
808.142,32.98733653,40.12881539,3706.242147,3.033470999,4.091375094,140.1116866
809.142,32.98770187,40.12857722,3711.069649,2.33256403,4.728688519,141.6506512
810.142,32.98805444,40.12834126,3715.731313,1.896983443,5.298012534,143.2589968
811.142,32.98839483,40.12810817,3720.171173,1.773762882,4.993640095,144.7634552
812.142,32.98872438,40.12787759,3723.825595,1.888957757,3.880594602,146.6348314
813.142,32.98904456,40.12764818,3725.975795,2.611500204,2.295154443,149.825445
814.142,32.9893552,40.12741716,3725.982862,2.855363571,0.2518794207,153.3780996
815.142,32.98965697,40.12718223,3723.039728,0.494932476,-0.894224161,156.7558604
816.142,32.98995243,40.12694266,3716.757484,-1.425069665,-1.669170701,158.6757719
817.142,32.99024727,40.12669943,3707.642665,-3.320161359,-0.904954068,164.7061459
818.142,32.99054231,40.12645336,3696.939572,-2.691525262,0.7336864876,176.5341075
