#{"t_start": 1777903206.291314, "env_id": "None"}
r,l,t
946.949901,115,553.430596
3895.081059,238,553.815437
-586.125215,44,553.903091
2690.291799,128,554.129284
1880.280506,134,554.359091
3078.483635,184,554.692462
1555.533012,134,554.976662
1503.930275,118,563.672894
972.657075,140,563.847496
2167.0499,129,564.020535
280.124497,117,564.165115
-890.650532,26,564.196521
-901.880947,107,564.343755
-907.435838,29,564.399593
3631.23248,212,564.669715
2436.517808,147,573.736749
2499.338801,135,573.936942
-1058.515159,28,573.974923
-623.205149,91,574.087732
-517.726853,90,574.220962
2947.172586,162,574.427041
2575.48648,155,574.616381
3334.576848,164,574.825302
2279.917188,138,584.067615
2810.164429,188,584.310186
2095.065458,132,584.480447
2448.899787,153,584.688852
2457.12762,146,584.880793
3327.91989,171,585.103146
-717.115076,34,585.148015
1350.958749,128,585.30559
2693.895365,146,593.45994
2058.057755,122,593.62684
-703.410548,49,593.684445
-970.876295,41,593.737211
-1082.202206,34,593.788927
3135.226544,184,594.103614
1512.671189,299,594.632846
-1273.586812,34,594.6928
-638.755219,160,603.625783
2138.303074,136,603.803487
3256.923219,218,604.078573
2867.504142,146,604.271463
2386.236286,172,604.506269
3322.204854,280,604.858615
-709.599342,31,604.900392
1469.617669,131,605.068781
2523.248814,156,614.188524
2712.158821,147,614.380163
-536.084372,39,614.426915
-1133.579326,40,614.478477
805.999666,61,614.561014
-2077.164437,176,614.783662
1475.646515,125,614.961199
-696.61841,28,614.998564
1958.503864,117,624.242965
2842.7937,153,624.433787
-634.134678,37,624.502019
3463.498212,196,624.759732
2110.857008,126,624.919417
2858.992619,163,625.135261
-923.300722,29,625.172852
2368.379763,134,625.343215
1498.083277,129,633.488841
1083.075118,183,633.72351
-681.005796,36,633.773361
2048.678285,123,633.943194
2983.999166,162,634.193352
2390.616014,145,634.468096
1308.942515,92,634.636592
2938.281355,156,634.918353
-454.373212,67,643.801851
41.283319,220,644.085231
-519.118488,46,644.147011
2498.695376,141,644.328966
3563.78957,195,644.578835
2726.135982,148,644.774521
3571.571183,161,644.981919
-472.975667,124,645.148895
2308.732956,142,654.327178
3343.84095,189,654.574041
1687.316601,104,654.707339
1843.289802,117,654.866355
2816.116441,268,655.210809
2448.975868,140,655.403606
3396.959859,201,655.6545
2593.185801,125,655.823834
2988.75607,162,665.142998
-776.614457,127,665.311877
2374.424305,142,665.484659
1702.130971,143,665.671233
2739.808538,161,665.886038
-1639.841216,141,666.092744
2062.523518,136,666.264335
2005.583955,106,666.405255
3214.749584,160,674.482098
-1148.691868,19,674.51751
2341.892732,129,674.734426
2445.710354,135,674.974718
2769.217439,146,675.226615
2699.722098,168,675.523154
2671.016968,167,675.799723
3188.505969,210,676.177433
-275.11009,139,684.896453
2025.5507,131,685.095815
1901.194427,119,685.242747
3393.738291,174,685.477313
-1016.0957,40,685.53218
2299.875172,143,685.720893
2772.852668,153,685.924235
-1221.919346,48,686.0046
2419.552031,138,695.222844
478.923794,202,695.477418
379.521986,87,695.603714
-360.568844,63,695.687844
2146.221919,149,695.884896
899.833679,109,696.01842
2380.805653,174,696.237329
-1314.749948,37,696.291822
2856.843307,158,705.355273
-592.360331,28,705.402685
-3035.172294,122,705.557667
1934.217945,120,705.715846
2263.269679,142,705.902249
-541.370194,47,705.960438
2943.410762,188,706.221122
1356.069378,115,706.360613
-1004.598763,18,714.263554
-728.069442,28,714.29846
3230.839318,174,714.542652
2932.407173,147,714.724352
1813.495591,148,714.922223
-878.820986,44,714.980215
2477.550758,148,715.17729
1706.556058,118,715.395858
2414.891374,139,724.584577
-2553.807413,149,724.774401
-733.259012,40,724.832471
-301.914556,60,724.913343
-604.733221,32,724.957889
-383.866147,126,725.139511
3029.164401,257,725.466494
-868.16039,24,725.498037
2418.39564,141,734.736066
3812.699738,211,735.018956
3115.477601,175,735.243908
