#{"t_start": 1777893224.684507, "env_id": "None"}
r,l,t
1408.085225,47,631.574406
2757.184794,110,631.696861
2808.097895,125,631.84482
2422.628878,88,631.945091
1503.948438,57,632.010912
1312.223007,55,641.378591
3412.05666,144,641.539266
2337.86328,119,641.700958
-565.681651,32,641.736704
1870.404981,114,641.86419
1433.615751,82,641.964344
1765.569612,69,642.042645
2366.150916,88,642.145706
1419.452381,51,642.206256
4012.135501,178,642.410956
1471.927137,66,651.808995
1979.461953,120,651.952093
1368.308311,95,652.057868
-896.240384,25,652.08552
-600.567503,31,652.119216
1642.582593,63,652.194299
2981.074335,125,652.354527
2828.176965,111,652.491924
3945.663202,169,652.682659
1636.722619,60,652.753676
2578.124513,116,664.02814
846.791995,83,664.125035
2585.163205,130,664.277329
1178.165281,39,664.323478
2895.017773,109,664.447691
2442.843863,87,664.562407
1494.095464,63,664.636786
3575.140763,151,664.813277
1584.945395,50,664.882465
3533.918464,173,665.095238
1650.619956,64,673.730581
2402.279701,122,673.92953
2053.456154,67,674.046563
3520.398191,154,674.29871
-163.980819,53,674.398319
3610.594616,146,674.619859
-643.286515,25,674.663164
2964.232145,135,674.8662
329.229705,74,674.976854
3104.805929,121,675.185002
-41.686664,56,683.968248
1403.388442,96,684.081484
3265.322018,146,684.245018
32.90421,53,684.305783
3101.245423,108,684.441986
2678.020967,99,684.555216
-881.839497,33,684.595301
1714.269927,94,684.7136
3746.043584,154,684.908603
2491.261226,106,685.033393
2198.678744,94,694.452565
3051.469531,146,694.63165
2985.149756,130,694.782825
2848.40778,117,694.926537
-813.742757,32,694.962128
1496.190393,67,695.040076
1434.733079,52,695.098137
-632.864628,28,695.134026
3494.514281,142,695.298327
1444.833576,52,695.358529
-518.111433,38,706.702543
1744.727067,86,706.81044
1184.612065,51,706.866582
-573.029851,32,706.905861
224.043498,60,706.972241
2269.705412,119,707.140133
2603.568987,121,707.27854
-339.442739,45,707.331444
1206.644241,108,707.465204
-476.536743,35,707.50432
-704.537138,22,716.793457
-253.185226,46,716.849361
2881.674947,106,716.97792
1517.986941,67,717.055732
1256.998362,53,717.115479
2554.884713,129,717.275622
2234.198932,125,717.416253
2315.710302,84,717.524434
-778.582304,22,717.550575
1897.749287,60,717.620291
2569.420558,109,726.381039
1296.835,135,726.600062
1653.845029,61,726.691401
1436.49177,55,726.778531
1588.613774,69,726.883043
2052.189721,108,727.052139
1760.941979,58,727.150292
3749.337812,161,727.404481
2098.786244,79,727.521832
3122.878236,110,727.681492
-758.7691,33,736.604431
3387.634736,146,736.777474
1386.828824,80,736.868708
3066.626504,120,737.01963
1567.544812,61,737.088109
-590.165992,39,737.134047
-137.120772,56,737.196116
3239.596417,123,737.343599
2524.014151,128,737.488354
1151.408832,100,737.613413
1610.372786,65,746.948675
3159.983326,161,747.137089
2344.014172,115,747.288548
3112.279636,192,747.507936
2428.751131,97,747.625672
1421.269179,83,747.719621
382.730525,77,747.806903
3652.684884,167,748.002274
1605.81395,69,748.082883
1553.150698,49,748.148938
2692.511302,118,759.652151
1847.801158,72,759.744231
-369.12847,41,759.789837
-863.419044,21,759.813237
1872.933947,89,759.930773
2134.782119,88,760.038429
2189.980352,90,760.141999
2160.961993,82,760.237048
1358.71894,51,760.300805
-472.496565,46,760.354644
227.786911,59,769.706204
1595.380922,57,769.7729
1610.103262,61,769.839858
3780.997146,152,770.018668
1439.895236,55,770.08456
2716.419101,104,770.20049
3808.229574,170,770.400494
3417.35438,153,770.603653
-176.793274,55,770.665805
-853.787954,42,770.715425
1235.032682,34,779.05393
1698.118205,70,779.134548
3188.564084,139,779.357775
-116.446932,50,779.434879
2955.241314,119,779.624453
1411.505113,46,779.694882
-175.677783,58,779.783818
1348.970051,45,779.859365
1975.950698,90,780.007469
1322.954986,41,780.071584
2780.895467,117,789.316757
2165.586651,89,789.435567
1811.085658,80,789.543068
2458.758133,89,789.646057
3095.552911,162,789.838083
1742.342955,82,789.933208
2689.369239,114,790.07477
360.595929,78,790.167624
1756.10777,63,790.241125
1389.366313,105,790.368838
1522.408686,59,799.750209
3846.164428,174,799.971585
2769.835714,99,800.089062
1494.714879,52,800.146574
1647.628293,73,800.238698
1797.326815,85,800.334989
1340.516951,123,800.475022
2249.764723,115,800.619051
2216.551844,102,800.733606
1871.856877,89,800.835375
2923.236141,107,812.444827
3257.383366,169,812.65043
1210.388009,58,812.723919
2044.821002,93,812.827471
3405.04612,134,812.983917
3646.102301,159,813.16567
3163.246938,133,813.320395
2314.671252,154,813.504629
1765.217637,87,813.618628
2137.171555,122,813.763733
-783.560194,33,822.989478
1832.27602,84,823.084462
2273.721113,91,823.210864
1834.272834,65,823.288471
3009.892865,129,823.434849
2102.975091,93,823.544671
3568.459986,147,823.713146
296.131638,91,823.831487
2015.583099,74,823.914996
1493.519707,60,823.9834
2278.207366,86,832.669255
1396.132703,107,832.834428
2820.430927,125,833.021771
2686.25145,97,833.185568
2674.285076,121,833.378762
1808.741772,70,833.485586
-661.953022,41,833.547475
1434.849431,49,833.621166
-410.998389,40,833.696013
-53.73799,54,833.782127
01034
2268.36405,106,298.65947
1272.821413,59,298.8174
2922.288479,129,299.134628
2087.962601,88,299.350734
1379.021781,56,299.487802
-539.377751,57,299.627853
1328.736732,49,299.760137
1421.310063,43,299.869277
3409.761068,138,300.206293
1259.093868,39,300.300598
3412.178024,157,300.713875
1708.407114,62,300.88254
2737.450117,125,303.078156
-427.159057,45,303.185619
3429.453521,153,303.558645
1375.213087,41,303.655885
-651.025505,30,303.728145
1863.588825,59,303.890241
2056.13123,98,304.182191
-483.083918,34,304.303388
947.143547,43,304.460584
1633.355916,81,304.730434
